Labware,Src.Barcode,Src.List Name,Dest.Barcode,Dest.List name,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Barcode ID,Labware,Source,Labware,Destination,Volume,Tool,Name
1,1,A1,1,A1,2,TS_50,
1,1,A2,1,A1,2,TS_50,
1,1,A3,1,A1,2,TS_50,
1,1,A4,1,A1,2,TS_50,
1,1,A5,1,A1,2,TS_50,
1,1,A6,1,A1,2,TS_50,
1,1,A7,1,A1,2,TS_50,
1,1,A8,1,A1,2,TS_50,
1,1,A9,1,A1,2,TS_50,
1,1,A10,1,A1,2,TS_50,
1,1,A11,1,A1,2,TS_50,
1,1,A12,1,A1,2,TS_50,
1,1,B1,1,A1,2,TS_50,
1,1,B2,1,A1,2,TS_50,
1,1,B3,1,A1,2,TS_50,
1,1,B4,1,A2,2,TS_50,
1,1,A2,1,A2,2,TS_50,
1,1,A3,1,A2,2,TS_50,
1,1,A4,1,A2,2,TS_50,
1,1,A5,1,A2,2,TS_50,
1,1,A6,1,A2,2,TS_50,
1,1,A7,1,A2,2,TS_50,
1,1,A8,1,A2,2,TS_50,
1,1,A9,1,A2,2,TS_50,
1,1,A10,1,A2,2,TS_50,
1,1,A11,1,A2,2,TS_50,
1,1,A12,1,A2,2,TS_50,
1,1,B1,1,A2,2,TS_50,
1,1,B5,1,A2,2,TS_50,
1,1,B6,1,A2,2,TS_50,
1,1,A1,1,A3,2,TS_50,
1,1,A2,1,A3,2,TS_50,
1,1,A3,1,A3,2,TS_50,
1,1,A4,1,A3,2,TS_50,
1,1,A5,1,A3,2,TS_50,
1,1,A6,1,A3,2,TS_50,
1,1,A7,1,A3,2,TS_50,
1,1,A8,1,A3,2,TS_50,
1,1,A9,1,A3,2,TS_50,
1,1,A10,1,A3,2,TS_50,
1,1,A11,1,A3,2,TS_50,
1,1,B7,1,A3,2,TS_50,
1,1,B8,1,A3,2,TS_50,
1,1,B9,1,A3,2,TS_50,
1,1,B10,1,A3,2,TS_50,
1,1,B11,1,A3,2,TS_50,
1,1,B2,1,A3,2,TS_50,
1,1,B3,1,A3,2,TS_50,
1,1,B4,1,A4,2,TS_50,
1,1,A2,1,A4,2,TS_50,
1,1,A3,1,A4,2,TS_50,
1,1,A4,1,A4,2,TS_50,
1,1,A5,1,A4,2,TS_50,
1,1,A6,1,A4,2,TS_50,
1,1,A7,1,A4,2,TS_50,
1,1,A8,1,A4,2,TS_50,
1,1,A9,1,A4,2,TS_50,
1,1,A10,1,A4,2,TS_50,
1,1,A11,1,A4,2,TS_50,
1,1,B7,1,A4,2,TS_50,
1,1,B8,1,A4,2,TS_50,
1,1,B9,1,A4,2,TS_50,
1,1,B10,1,A4,2,TS_50,
1,1,B11,1,A4,2,TS_50,
1,1,B5,1,A4,2,TS_50,
1,1,B6,1,A4,2,TS_50,
